#{"t_start": 1689342172.6475909, "env_id": "LunarLanderContinuous-v2"}
r,l,t
239.468594,990,967.321442
261.411454,336,971.148157
-115.278237,396,972.508977
233.663244,328,974.067907
266.665388,292,975.375014
151.704262,360,976.549995
164.869538,1000,978.121872
-57.849003,194,981.942011
38.19245,140,982.694688
-75.762622,144,983.258147
267.068223,198,983.84564
-229.075931,716,984.732915
-117.292827,219,987.484139
179.472227,1000,988.516993
186.113083,291,992.415807
296.409791,251,993.558459
198.272484,262,994.566441
13.052207,190,995.597816
86.437742,1000,996.522335
247.787929,586,1000.455603
247.628522,494,1002.770248
250.795538,460,1004.752089
130.182774,1000,1006.705404
284.855982,407,1010.682539
300.891513,506,1012.330351
253.601778,309,1014.29409
278.63974,847,1015.631626
248.783272,337,1018.910902
268.422214,260,1020.301892
18.220441,130,1021.328836
209.980605,279,1021.86941
246.223389,576,1023.055123
209.020844,458,1025.322833
-110.72973,265,1027.118809
271.394288,272,1028.373326
238.524773,274,1029.745584
229.099883,374,1030.881708
221.200086,783,1032.453082
301.359816,316,1035.481488
-74.426717,307,1036.740117
294.993648,303,1037.966172
292.175053,217,1039.156466
-20.342878,294,1040.042564
260.935439,314,1041.224545
130.176107,1000,1042.610273
253.246925,382,1046.479378
204.5342,500,1048.033889
114.091842,1000,1050.209905
244.834906,252,1053.57961
302.272065,283,1054.352395
301.131533,236,1055.219969
219.490161,419,1056.170621
267.376312,213,1057.751587
279.443873,586,1058.623373
-42.096846,1000,1060.98229
267.094031,409,1064.956798
277.530312,237,1066.635942
156.239632,1000,1067.744698
282.256378,299,1071.252216
245.728754,256,1072.154857
277.385546,461,1072.974523
250.182326,320,1074.418228
244.170597,366,1075.471708
273.212047,260,1076.572242
263.892408,367,1077.438716
262.889636,331,1078.658796
-73.042089,1000,1079.812567
245.442947,417,1083.070656
-68.890087,1000,1084.895415
224.093574,301,1088.171136
47.504111,1000,1089.248152
-5.460156,1000,1092.428227
-37.874528,269,1095.453674
256.228203,546,1096.321392
273.394348,314,1097.984562
274.931011,615,1099.010922
257.295849,313,1100.879302
249.904333,451,1101.862837
202.168327,328,1103.219323
274.187481,182,1104.245036
-75.851006,1000,1105.019712
278.231473,400,1108.615496
229.807111,525,1110.143311
175.686136,739,1111.876393
-71.464507,1000,1114.284944
-78.588329,1000,1117.399219
-67.902524,1000,1120.737591
-26.968157,1000,1123.945349
187.666057,563,1126.997157
-58.594402,519,1128.905058
-42.761108,1000,1130.573483
224.525137,240,1133.722463
-111.599361,210,1134.537803
215.949395,245,1135.183667
208.016953,510,1135.973871
263.069205,241,1137.510141
-63.028191,1000,1138.376606
236.184004,320,1141.426633
211.342677,255,1142.66325
-56.588313,1000,1143.675379
200.100287,352,1146.74601
236.283392,474,1147.888495
245.90626,495,1149.382143
213.72634,425,1150.906394
-47.467804,1000,1152.286704
229.122456,206,1155.415736
226.675809,323,1156.104945
6.394861,139,1157.134683
278.182537,211,1157.626479
263.657953,293,1158.28301
-356.307358,655,1159.289452
201.307688,280,1161.384908
-13.953171,1000,1162.421079
-235.400953,963,1165.82379
-36.062524,1000,1169.203243
240.887899,364,1172.537881
-61.976474,1000,1173.738455
224.839909,657,1176.791732
-63.080643,1000,1178.864128
258.338252,468,1181.84427
233.617924,484,1183.276536
-53.936018,1000,1184.83713
225.453777,216,1187.777953
235.507307,359,1188.453226
244.413841,247,1189.522739
246.613252,235,1190.268474
-29.415872,1000,1191.109497
220.831725,239,1194.062106
272.675621,247,1194.786403
249.578669,268,1195.536311
243.541289,199,1196.338769
246.998385,694,1197.034906
99.822723,1000,1199.255844
256.406391,228,1202.185958
-243.880977,1000,1202.994014
